"What is the sum of angles in a triangle?","90 degrees","180 degrees","270 degrees","360 degrees","180 degrees"
"If a car travels 60 miles in 1 hour then how long will it take to travel 180 miles?","1.5 hours","2 hours","2.5 hours","3 hours","3 hours"
"A train travels at 60 km/h. How far will it travel in 2.5 hours?","120 km","150 km","180 km","200 km","150 km"
"If 3x + 5 = 20 then what is the value of x?","3","5","10","15","5"
"The ratio of the ages of A and B is 2:3. If A is 12 years old then  how old is B?","15 years","18 years","20 years","24 years","18 years"
"What is the next number in the series 2 4 8 16... ?","24","30","32","36","32"
"A box contains 5 red and 7 blue balls. What is the probability of picking a red ball?","5/12","7/12","1/2","1/3","5/12"
"If the cost price of an item is $50 and the selling price is $60 then what is the profit percentage?","10%","20%","25%","30%","20%"
"How many days are there in 3 weeks?","14 days","21 days","28 days","30 days","21 days"
"What is 25% of 200?","25","50","75","100","50"
"If it takes 5 workers 10 days to complete a task then how long will it take 10 workers?","5 days","10 days","15 days","20 days","5 days"
"A clock shows 3:15. What is the angle between the hour and the minute hand?","0 degrees","15 degrees","45 degrees","90 degrees","15 degrees"
"If a rectangle has a length of 10 cm and a width of 5 cm then what is its area?","15 cm²","25 cm²","50 cm²","75 cm²","50 cm²"
"What is the smallest prime number?","1","2","3","4","2"
"In a race, A beats B by 10 meters. If B runs 100 meters then how far does A run?","90 meters","100 meters","110 meters","120 meters","110 meters"
"What is the LCM of 4 and 6?","12","24","36","48","12"
"A person can complete a job in 20 days. If he works for 10 days then how much of the job is left?","1/2","1/3","1/4","1/5","1/2"
"If the sum of two numbers is 30 and their difference is 10 then what are the numbers?","20 and 10","15 and 15","25 and 5","30 and 0","20 and 10"
"What is 9 squared?","18","27","81","72","81"
"If you roll a die then what is the probability of getting an even number?","1/3","1/2","1/6","1/4","1/2"
"A car depreciates in value by 10% each year. If its initial value is $20000 then what will its value be after 1 year?","$18000","$17000","$16000","$15000","$18000"
